"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
800,0.4,10,1,0.5,1,2,40,40,5,9000001,0.91032545372579,10.0915172759564,2.01425060928471,-0.0462787575624755,0.911821415024446,10.089815530716,2.08040882512788,-0.0484072614774378,0.953999868914054,9.975063094065,2.00684087372478,-0.0154211151752756,0.914993320616594,10.0804064669325,2.08029402881778,-0.0484561224657953
8000,0.4,10,1,0.5,1,2,40,40,5,9000001,0.981748723629393,10.0082644281313,2.01844772559652,-0.00691520332331994,0.971328176222651,10.0320109200144,2.02144157642135,0.0102168284574231,0.984429490581373,10.0218661105748,2.01025752978045,0.0122743060020666,0.971209945295228,10.0325647797295,2.02132864988157,0.0101795723313779
200,0.5,10,1,0.5,1,2,40,40,5,9000001,0.854945546261235,10.161226714165,2.17832151771829,-0.0803362362420445,0.875582794480632,10.2269329927253,2.26491258426821,-0.178984913042003,0.937765047414197,10.1177348304288,2.20098444918828,-0.0738019521947264,0.875136851716718,10.237481186917,2.26139879455507,-0.179485433815462
800,0.5,10,1,0.5,1,2,40,40,5,9000001,1.20632994821006,9.69116169233319,1.83760291659623,-0.0524309429781319,1.35046500758858,9.41237962671268,1.64869416302115,-0.130874241310371,1.10383964426075,9.84311561351263,1.88036738324043,-0.05379302774589,1.33475719255915,9.45078853181399,1.65737290441314,-0.130351149232879
8000,0.5,10,1,0.5,1,2,40,40,5,9000001,0.965334959133225,10.0493212452171,2.01406947407728,-0.00654974916400955,0.972487197063408,10.0056232893536,2.02171416620532,-0.0377379011051143,0.956558290663688,10.06230881332,2.03265296413198,-0.0168382135583427,0.968145529320636,10.0179084138042,2.02314660189759,-0.0376285041547763
200,0.6,10,1,0.5,1,2,40,40,5,9000001,0.823776275541245,10.2557502809565,2.13394649175559,-0.034665385479261,1.09427449140362,9.74602740010187,1.87113439397481,-0.0401670189423729,0.98513443877243,9.81613661377603,2.010395449176,0.0253026446365645,1.09309062139226,9.76438077143161,1.86630591268323,-0.0406675233489365
800,0.6,10,1,0.5,1,2,40,40,5,9000001,0.809934324926575,10.2699743763583,2.03363952299772,-0.0499332763172114,0.939311917614126,9.80910233777644,1.97132637408338,-0.00182769193308125,0.708175034145056,10.3181877005775,2.13723080178288,-0.0196437762371223,0.914969219945505,9.88287908013973,1.98080143717409,-0.000894066281214196
8000,0.6,10,1,0.5,1,2,40,40,5,9000001,1.04267745773828,9.92309911562796,1.98267167323031,-0.00863393579567849,1.09581979196221,9.86299948991241,1.92923313507949,-0.0414780070460463,1.05615498704743,9.9516417095467,1.9504108292936,-0.014013705906424,1.08822937496362,9.88767846273842,1.9316988225374,-0.0415615619767235
200,0.65,10,1,0.5,1,2,40,40,5,9000001,1.04945184503686,10.0325524881361,1.92080692044099,-0.0220115838902369,1.36282774185435,9.60563026709489,1.50504576687152,0.116110042060335,1.49859327901023,9.40382567249257,1.47923359426527,0.0568675969411171,1.36816227806561,9.61056485686923,1.49225962185637,0.115176918262396
800,0.65,10,1,0.5,1,2,40,40,5,9000001,1.08006901530588,9.87003432545638,1.90227445719741,-0.0457972188675376,0.964642273064597,9.98602012162895,2.05515230296233,0.0169040714838202,0.9856221594787,10.100713608546,1.99729682037482,-0.0101529769109723,0.953173912193754,10.0226718715348,2.06011862888487,0.0165085646984625
8000,0.65,10,1,0.5,1,2,40,40,5,9000001,1.04961068713724,9.93690226336444,1.95792558251084,-0.00458501296026677,1.10643643839385,9.81576141652218,1.90274864020298,-0.0334078355234671,1.05637726674585,9.94609721455127,1.930376924023,-0.00177783504044673,1.09773233951721,9.84355982141735,1.90631287273677,-0.0327359628332509
