"n","q","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
1000,0.6,0,1,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.06383163150481,1.96871348249745,-0.0218928546773147,1.03698698891789,1.97921155651821,-0.0281788205798115,1.06724624358563,1.95562254925755,-0.0222954878666839
10000,0.6,0,1,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221939,0.973438253425606,1.96661458510986,0.0808447205058714,0.98961022850932,1.93464997578105,0.0837057969558531,0.972486787815988,1.97251373090125,0.0811975356125773
1000,0.8,0,1,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.00966426513418,2.20710547956363,-0.0465638638120359,1.01973120437692,2.04967169996451,-0.0437576497417744,1.02488828939647,2.08531564988249,-0.0525998602872498
10000,0.8,0,1,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221567,0.990062744029619,1.88484687230559,0.0935588766834477,0.994606145969246,1.89383362507892,0.0874954294768759,0.985172520775596,1.92092402187369,0.0958434523120182
1000,0.6,1,0,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.06383163150481,1.96871348249745,-0.0218928546773147,1.03714882391845,1.97825705783068,-0.0282301936759381,1.06786882608748,1.95568078732821,-0.0223859842932048
10000,0.6,1,0,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221939,0.973438253425606,1.96661458510986,0.0808447205058714,0.973451293558962,2.02112155709851,0.0885122231902052,0.970340164802922,1.9892214004429,0.0813343723521908
1000,0.8,1,0,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.00966426513418,2.20710547956363,-0.0465638638120359,1.01805319350899,2.06458817331,-0.0432436950194864,1.02483077839014,2.09636739828221,-0.053175019351692
10000,0.8,1,0,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221567,0.990062744029619,1.88484687230559,0.0935588766834477,0.970646498093491,2.06392223395447,0.0911511699602089,0.97379715824617,2.04468548105181,0.0964743904384477
1000,0.6,0,0,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.06383163150481,1.96871348249745,-0.0218928546773147,1.03698698891789,1.97921155651821,-0.0281788205798115,1.06785673744417,1.95577171338505,-0.0223879902813015
10000,0.6,0,0,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221939,0.973438253425606,1.96661458510986,0.0808447205058714,0.98961022850932,1.93464997578105,0.0837057969558531,0.97247946990574,1.97498939318967,0.0813267753771378
1000,0.8,0,0,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.00966426513418,2.20710547956363,-0.0465638638120359,1.01973120437692,2.04967169996451,-0.0437576497417744,1.02557614231281,2.08727353615079,-0.0530399817935218
10000,0.8,0,0,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221567,0.990062744029619,1.88484687230559,0.0935588766834477,0.994606145969246,1.89383362507892,0.0874954294768759,0.984721645045475,1.92748312827296,0.0961437194381156
1000,0.6,1,1,100,15,3,9000004,0.989200178299962,1.97405821732321,0.160925320505005,1.06856848938408,1.69473569496964,0.220558893224847,1.00392413851827,1.92336130984082,0.193932366031777,1.06267581788569,1.73354577991386,0.220531238475527
10000,0.6,1,1,100,15,3,9000004,1.00688405094094,1.99032756034521,0.0791139487754394,1.00438100707618,1.92267927184144,0.0455768002809193,1.00085830709508,1.96751259726177,0.0647025428497703,1.00334697838341,1.93630406239718,0.0452285420988028
1000,0.8,1,1,100,15,3,9000004,0.989200178299962,1.97405821732321,0.160925320505162,1.11685024257164,1.52175243375448,0.170314281536501,1.05233352270195,1.64690990507368,0.213290568925152,1.11366387667461,1.65317773914104,0.165585946657913
10000,0.8,1,1,100,15,3,9000004,1.00688405094094,1.99032756034521,0.079113948774342,0.973553339047158,2.14478578709814,0.0547691098471127,0.998866888468598,1.9342072036605,0.0644823166428973,0.98656670077197,2.03994683924751,0.0549512909940765
1000,0.6,0,1,100,15,3,9000004,0.989200178299962,1.97405821732321,0.160925320505005,1.06856848938408,1.69473569496964,0.220558893224847,1.02003684949903,1.82846741378857,0.18798665532501,1.06611008832699,1.71429028812715,0.220556521526042
10000,0.6,0,1,100,15,3,9000004,1.00688405094094,1.99032756034521,0.0791139487754394,1.00438100707618,1.92267927184144,0.0455768002809193,1.00820706862662,1.92805232971936,0.0625745068999332,1.00429384405988,1.93015499810938,0.045276250354215
1000,0.8,0,1,100,15,3,9000004,0.989200178299962,1.97405821732321,0.160925320505162,1.11685024257164,1.52175243375448,0.170314281536501,1.05122109963697,1.66371957759283,0.214536291926126,1.11255078985624,1.66630089666242,0.165419928629346
10000,0.8,0,1,100,15,3,9000004,1.00688405094094,1.99032756034521,0.079113948774342,0.973553339047158,2.14478578709814,0.0547691098471127,1.00800763355846,1.87112175991554,0.0635053801202673,0.990066019960282,2.00117774130193,0.0552582927608946
1000,0.6,1,0,100,15,3,9000004,0.989200178299962,1.97405821732321,0.160925320505005,1.06856848938408,1.69473569496964,0.220558893224847,1.00392413851827,1.92336130984082,0.193932366031777,1.06297302353633,1.73454407316273,0.220725643136107
10000,0.6,1,0,100,15,3,9000004,1.00688405094094,1.99032756034521,0.0791139487754394,1.00438100707618,1.92267927184144,0.0455768002809193,1.00085830709508,1.96751259726177,0.0647025428497703,1.00361658457664,1.93876371769793,0.0450011532200182
1000,0.8,1,0,100,15,3,9000004,0.989200178299962,1.97405821732321,0.160925320505162,1.11685024257164,1.52175243375448,0.170314281536501,1.05233352270195,1.64690990507368,0.213290568925152,1.11407412917613,1.65062446710475,0.16530248230528
