"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4","Vor1","Vor2","Vor3","Vor4","Vcc1","Vcc2","Vcc3","Vcc4","Vml1","Vml2","Vml3","Vml4","Vsp1","Vsp2","Vsp3","Vsp4"
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000004,0.990464562373944,10.0145556726083,1.99982918993652,-0.00144560498838023,0.968057543568045,10.0896963451147,2.07171166106789,0.0346096182252991,1.97084069408128,8.26015338222748,0.922767675516949,0.257753429767047,0.979344250327112,10.028753770856,2.07527203113185,0.0344696552761223,0.0354105861386332,0.0511746475335388,0.0254937545341263,0.00793915886799769,0.0721729573955816,0.170960791132308,0.0602339355064075,0.0174237078509931,0.0367040422309555,0.0519724173276106,0.0319479823624272,0.0121745684471303,0.0718874543163459,0.169627487231015,0.060170868865544,0.0174196301101847
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000005,0.970654818788064,10.038220572686,2.00392742057083,0.0126252032258897,0.985965700485575,10.0234226768135,1.99536983015305,0.0602367545317198,0.98087563963264,9.95765620616153,2.03851032096699,0.0337115008105654,0.990723431264443,10.0016524532374,1.99421495215556,0.0613611855863761,0.0357821651532099,0.0513465804117255,0.0257500108181621,0.00782968444694928,0.0752778656121413,0.173330731922931,0.0635452619863316,0.0169847709408157,0.0462017140714633,0.0701018927079828,0.0396447229338781,0.0141930025192887,0.0747901818394543,0.171053303763572,0.0633734482210504,0.016968217416368
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000005,0.970654818788064,10.038220572686,2.00392742057083,0.0126252032258897,0.985965700485575,10.0234226768135,1.99536983015305,0.0602367545317198,2.05497063473263,7.95159462571992,0.849715583354635,0.27333464728529,1.00841250233678,9.92511320550941,1.99046121870847,0.0620971355408535,0.0357821651532099,0.0513465804117255,0.0257500108181621,0.00782968444694928,0.0752778656121413,0.173330731922931,0.0635452619863316,0.0169847709408157,0.0357715860820017,0.0492793012368218,0.0313926200116246,0.0119068524438575,0.0748693425846065,0.171734370320729,0.0633648116994656,0.0169802314784931
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000005,0.970654818788064,10.038220572686,2.00392742057083,0.0126252032258897,0.985965700485575,10.0234226768135,1.99536983015305,0.0602367545317198,0.98087563963264,9.95765620616153,2.03851032096699,0.0337115008105654,0.99133262000615,10.000118225188,1.99382498186799,0.0614276575357681,0.0357821651532099,0.0513465804117255,0.0257500108181621,0.00782968444694928,0.0752778656121413,0.173330731922931,0.0635452619863316,0.0169847709408157,0.0462017140714633,0.0701018927079828,0.0396447229338781,0.0141930025192887,0.0748066541357972,0.171118191695955,0.0633857288455829,0.0169691385511093
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000005,0.970654818788064,10.038220572686,2.00392742057083,0.0126252032258897,0.985965700485575,10.0234226768135,1.99536983015305,0.0602367545317198,2.05497063473263,7.95159462571992,0.849715583354635,0.27333464728529,1.01013036707716,9.9199558879229,1.99051034018345,0.062141974548235,0.0357821651532099,0.0513465804117255,0.0257500108181621,0.00782968444694928,0.0752778656121413,0.173330731922931,0.0635452619863316,0.0169847709408157,0.0357715860820017,0.0492793012368218,0.0313926200116246,0.0119068524438575,0.0748658750992288,0.171734759209479,0.0633613884844139,0.0169803254180685
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000006,1.06226600196401,9.87063739119277,1.98404598948597,-0.0129293591002481,1.02393655467746,10.0360644738822,1.98861050656074,-0.0324971919932749,1.12671962124796,9.882250526847,1.89480878078058,-0.0245348561205559,1.01766021520228,10.0574009942781,1.98928263075479,-0.0322003230569704,0.0359423549298555,0.0510199605397625,0.0257904023647556,0.00799618670499122,0.0750625158180301,0.184787654291394,0.0626572709230589,0.017712566215745,0.0471133136161809,0.0727580532847138,0.0405641619908219,0.014653930945758,0.0746564333330648,0.182837976350956,0.062537006474684,0.0177032706086664
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000006,1.06226600196401,9.87063739119277,1.98404598948597,-0.0129293591002481,1.02393655467746,10.0360644738822,1.98861050656074,-0.0324971919932749,2.00735660620939,8.22356753601186,0.914278801271818,0.192199133118139,1.02168578713917,10.0230604621692,1.99526421682139,-0.0321019853342018,0.0359423549298555,0.0510199605397625,0.0257904023647556,0.00799618670499122,0.0750625158180301,0.184787654291394,0.0626572709230589,0.017712566215745,0.0385364584010773,0.0547077878775385,0.0336326005342504,0.0125970038294156,0.0747494688728482,0.183418407375036,0.0625517735117328,0.0177083768876974
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000006,1.06226600196401,9.87063739119277,1.98404598948597,-0.0129293591002481,1.02393655467746,10.0360644738822,1.98861050656074,-0.0324971919932749,1.12671962124796,9.882250526847,1.89480878078058,-0.0245348561205559,1.01661977983324,10.0590983798989,1.99080509588019,-0.0320044048197039,0.0359423549298555,0.0510199605397625,0.0257904023647556,0.00799618670499122,0.0750625158180301,0.184787654291394,0.0626572709230589,0.017712566215745,0.0471133136161809,0.0727580532847138,0.0405641619908219,0.014653930945758,0.0746701158033568,0.182909257052559,0.0625439945334389,0.0177040823584849
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000006,1.06226600196401,9.87063739119277,1.98404598948597,-0.0129293591002481,1.02393655467746,10.0360644738822,1.98861050656074,-0.0324971919932749,2.00735660620939,8.22356753601186,0.914278801271818,0.192199133118139,1.02183994939363,10.0216298497665,1.99630488814125,-0.0320310057324307,0.0359423549298555,0.0510199605397625,0.0257904023647556,0.00799618670499122,0.0750625158180301,0.184787654291394,0.0626572709230589,0.017712566215745,0.0385364584010773,0.0547077878775385,0.0336326005342504,0.0125970038294156,0.0747512813707227,0.18343306177479,0.0625517942371599,0.0177084831504848
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000007,1.00031856216977,9.99022484527076,2.00733963597875,0.0391433514540464,1.08357450569137,9.747632145278,1.94603425256574,0.0726614136288503,1.0728270744763,9.85657726138732,1.95845647433652,0.0558561664371481,1.06636108434262,9.80543636952919,1.95189019292171,0.07659881338743,0.0352733604312013,0.0498563073112402,0.0254194611242648,0.00745380436804462,0.0735881251027465,0.170452364088116,0.0612813896713248,0.0165678723309318,0.0455926390278406,0.0675730863615533,0.0385933763878212,0.0134283247197573,0.0731155035336346,0.167772053526931,0.0611558759479629,0.0165206431531491
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000007,1.00031856216977,9.99022484527076,2.00733963597875,0.0391433514540464,1.08357450569137,9.747632145278,1.94603425256574,0.0726614136288503,2.06217661113296,8.0499499285838,0.873309976163009,0.282137619896881,1.07987216600244,9.7292689167681,1.95554855210735,0.0742484053894911,0.0352733604312013,0.0498563073112402,0.0254194611242648,0.00745380436804462,0.0735881251027465,0.170452364088116,0.0612813896713248,0.0165678723309318,0.0359956980611177,0.0497336577533501,0.0314283440339628,0.01142196994464,0.0731246084627596,0.168348786116351,0.0611067459937321,0.0165572685230693
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000007,1.00031856216977,9.99022484527076,2.00733963597875,0.0391433514540464,1.08357450569137,9.747632145278,1.94603425256574,0.0726614136288503,1.0728270744763,9.85657726138732,1.95845647433652,0.0558561664371481,1.06726410732213,9.80363047107634,1.95267337623118,0.0761228338117969,0.0352733604312013,0.0498563073112402,0.0254194611242648,0.00745380436804462,0.0735881251027465,0.170452364088116,0.0612813896713248,0.0165678723309318,0.0455926390278406,0.0675730863615533,0.0385933763878212,0.0134283247197573,0.073138886661636,0.167879604741957,0.0611665631863219,0.016523622348005
