"n","q","x.shape","c.shape","mx","mc","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,31,31,2,0.997804646136792,2.0646978371354,1.01475651396286,1.94793388141283,1.00353420814971,2.02351160013697,1.01447823545404,1.96038871895476
10000,0.8,1,1,31,31,2,0.997804646136792,2.0646978371354,0.966734460340397,2.86390653937801,0.992315313723218,1.97273229612381,1.02490589856735,2.13289820907658
10000,0.4,4,1,31,31,2,1.03231120270506,1.85437517344552,1.01173595821399,1.91082508625169,1.08548853101795,1.50502666100369,1.01122232043253,1.91242766164164
10000,0.8,4,1,31,31,2,1.03231120270506,1.85437517344552,0.972347900349795,1.9320114072751,1.11845296170003,1.32666239382796,0.969870200089608,1.89611818645356
10000,0.4,1,4,31,31,2,0.978618881363808,2.07748124812255,0.995736167092147,1.89774160884876,0.985828296498116,2.02841948745671,0.990197052362162,1.97044962929612
10000,0.8,1,4,31,31,2,0.978618881363808,2.07748124812255,0.987706885876933,1.93189348318149,0.975518894004661,2.05083944785529,0.998158985049499,2.10333114993148
10000,0.4,4,4,31,31,2,0.976016198186351,2.01998227863759,0.926088107966931,2.34256235255805,1.07169678878558,1.44459815587695,0.926951670719728,2.33419565651278
10000,0.8,4,4,31,31,2,0.976016198186351,2.01998227863759,0.941226873673302,2.13630176548909,1.04362431063565,1.45516128409032,0.979534309729447,1.82314070234144
10000,0.4,1,1,21,21,3,1.00316314586136,2.02084380841137,1.01641833086778,1.92981388479005,0.996172885844136,2.00168891807723,1.01595881365067,1.95544190295901
10000,0.8,1,1,21,21,3,1.00316314586136,2.02084380841137,1.04318323741773,1.73496944520191,0.984776014029476,1.88125756680859,1.09439855424206,1.83196418062828
10000,0.4,4,1,21,21,3,1.00548178286429,2.00788499069114,0.978588118880783,2.07969769883082,1.06905255877126,1.61530313425953,0.976317983028365,2.08802017324529
10000,0.8,4,1,21,21,3,1.00548178286429,2.00788499069114,1.01644682769947,2.08947239937928,1.15750779543403,1.24335179454003,1.04044498101819,1.91895027792409
10000,0.4,1,4,21,21,3,1.00889222392882,1.9989983085445,1.00832011877941,1.969504188733,1.00756547750316,1.98008689070613,1.00209246456127,2.05690931230041
10000,0.8,1,4,21,21,3,1.00889222392882,1.9989983085445,1.04274222855985,0.933193837833418,0.98060826807573,1.94848724397549,1.05069535222922,1.92175850152391
10000,0.4,4,4,21,21,3,0.970396348963032,2.09580079801936,0.96976815455256,2.14860821486506,1.07777395101542,1.47959228440964,0.970393278862168,2.14345917756802
10000,0.8,4,4,21,21,3,0.970396348963032,2.09580079801936,1.01237835049342,1.69884827511103,1.0899431577722,1.35305954419022,1.02249653969984,1.5902046436306
10000,0.4,1,1,31,31,3,1.00316314586136,2.02084380841137,1.01641833086778,1.92981388479005,0.99989286561918,2.01887326597623,1.01602024073728,1.94670060292589
