"n","q","x.shape","c.shape","mx","mc","my","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,4,4,100,15,2,9000005,0.983984604051344,2.09512814025279,0.979585120288869,2.12813414424055,1.08706532850837,1.47375819626046,0.980507088423203,2.12101716131108
10000,0.8,4,4,100,15,2,9000005,0.983984604051344,2.09512814025279,0.927727663158839,2.46893578363527,1.09792605957441,1.34383526252799,0.966946904621929,2.14089788380745
10000,0.4,1,1,100,15,2,9000006,1.00622923385801,1.99859171264324,1.01389207549923,1.96761697228546,1.00890322183424,1.97219518678591,1.01395940819969,1.9696593179775
10000,0.8,1,1,100,15,2,9000006,1.00622923385801,1.99859171264324,1.06251838572456,0.937414115979831,1.00442237868131,1.97477332572081,1.02728210619981,1.70278200745194
10000,0.4,4,1,100,15,2,9000006,0.963680278993856,2.13334525962158,0.947563821021798,2.16796627670109,1.04665380211904,1.6344384365053,0.946613000519506,2.17038951998426
10000,0.8,4,1,100,15,2,9000006,0.963680278993856,2.13334525962158,0.973498153828505,2.1151290058672,1.11836063191578,1.31624045630711,0.982778776790842,2.03424726651784
10000,0.4,1,4,100,15,2,9000006,0.980976421726277,2.02771821861896,0.96638603579625,2.14521178663992,0.982986162163714,1.99496103409211,0.966326753302708,2.14457487775825
10000,0.8,1,4,100,15,2,9000006,0.980976421726277,2.02771821861896,0.962279676944384,2.01632200597162,0.987347164436245,1.97896018486219,0.956357734750742,2.02688710463862
10000,0.4,4,4,100,15,2,9000006,1.00602849850993,1.91395402646876,1.0338774799699,1.73066873203689,1.10652048995976,1.31728060173623,1.03475472095432,1.72463517780264
10000,0.8,4,4,100,15,2,9000006,1.00602849850993,1.91395402646876,1.05823301094607,1.464430807649,1.14169125067217,1.11879844921899,1.06743554465624,1.38154055002349
10000,0.4,1,1,100,15,2,9000007,1.00450378952037,1.97833202503513,1.00477281400507,2.03709931106149,1.00329361876563,1.9891534743245,1.00466149097239,2.03945085927562
10000,0.8,1,1,100,15,2,9000007,1.00450378952037,1.97833202503513,1.00428804747081,2.19352055571984,0.999031843047461,2.01701012947484,1.01293448142091,2.09149138614981
10000,0.4,4,1,100,15,2,9000007,0.987817210169336,2.07611505781629,1.01818917024379,1.95130729356916,1.06402716095744,1.6667638097867,1.017695466224,1.95261817451946
10000,0.8,4,1,100,15,2,9000007,0.987817210169336,2.07611505781629,0.98300795386555,2.11632806137739,1.11556449076857,1.42999803572409,0.985555177546565,2.07871874339755
10000,0.4,1,4,100,15,2,9000007,1.00096817940305,2.02877082885691,1.01778004579424,1.89449695229517,1.00350079798383,2.02442026776096,1.01575075118988,1.91682235724201
10000,0.8,1,4,100,15,2,9000007,1.00096817940305,2.02877082885691,1.06389042003329,0.156948908211741,-29.4769433944985,529.654190649056,1.06937303767727,-0.00292062772956237
10000,0.4,4,4,100,15,2,9000007,0.992274444439893,2.05538591835113,0.959566313714452,2.23535641414884,1.06231193594172,1.5996251358601,0.95976048094475,2.23221562590844
10000,0.8,4,4,100,15,2,9000007,0.992274444439893,2.05538591835113,1.03335770977845,1.63559714718918,1.06092964602756,1.52481043028393,1.03450921013986,1.6238353879158
10000,0.4,1,1,100,15,2,9000008,0.983027392280247,2.04833820393024,0.997284104234067,1.98458698893828,0.987733389007727,2.03294124417086,0.99700512722535,1.99064981961517
10000,0.8,1,1,100,15,2,9000008,0.983027392280247,2.04833820393024,0.985665598781105,2.14094118206767,0.974230746360074,2.08445791998761,0.993373168839227,2.10671826761736
