"n","q","B2","s2","x.mean.scale","x.shape","c.shape","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,0.94774244253198,0.633773037322813,-0.946461452118534,-0.290738707855311,0.977185853993142,0.548018789148212,-0.969272920707815,-0.221337233413001,0.952645454375881,0.616822200701733,-0.940624092903812,-0.292742510950133
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,1.00078391462866,0.489040266722034,-0.96778896127657,-0.230552997095781,1.00124712979943,0.464263240362629,-0.957762838413072,-0.218487055803913,1.00199520187045,0.485491957170055,-0.966477132967631,-0.230593425019044
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,0.94774244253198,0.633773037322813,-0.946461452118534,-0.290738707855311,0.987316558698599,0.461020770585761,-0.95517845162996,-0.229059690367986,0.962454698432474,0.561739168929843,-0.930293927024211,-0.291593676994321
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,1.00078391462866,0.489040266722034,-0.96778896127657,-0.230552997095781,0.996782257552865,0.507386458600056,-0.968257839354797,-0.212103680333063,0.999864899590607,0.496850591346496,-0.968935252630592,-0.230674869978505
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,0.94774244253198,0.633773037322813,-0.946461452118534,-0.290738707855311,0.977185853993142,0.548018789148212,-0.969272920707815,-0.221337233413001,0.954716253739684,0.614902887857494,-0.940231113926625,-0.293670048509055
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,1.00078391462866,0.489040266722034,-0.96778896127657,-0.230552997095781,1.00124712979943,0.464263240362629,-0.957762838413072,-0.218487055803913,1.00232271735802,0.486589948927027,-0.96635209370665,-0.230633230946975
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000005,1.00986671480386,0.495168061345436,-0.979296163336617,-0.210542200359299,0.94774244253198,0.633773037322813,-0.946461452118534,-0.290738707855311,0.987316558698599,0.461020770585761,-0.95517845162996,-0.229059690367986,0.964780111476827,0.556050449236807,-0.929114592338353,-0.292245147090255
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.98278888586207,0.525403139525054,-0.992496354744605,-0.237670856787693,0.996168182614153,0.511204555652512,-1.00646249435374,-0.218180163117113,0.982831467892482,0.527948762660804,-0.993048838813044,-0.237314209361056
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.974410855460112,0.584117768408336,-0.975760623773524,-0.25193245290009,0.99539350608417,0.490665208902661,-1.00043705819592,-0.219008754227362,0.983366026392586,0.55171808915715,-0.967757725864987,-0.251387172247344
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.98278888586207,0.525403139525054,-0.992496354744605,-0.237670856787693,1.00502423693282,0.461305367011601,-0.996609173418326,-0.224643677264889,0.985080829722321,0.51925442883775,-0.99074625001094,-0.23732947248561
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.974410855460112,0.584117768408336,-0.975760623773524,-0.25193245290009,1.00735798384324,0.418481230578633,-0.992122312181009,-0.224106767478497,0.992144580963361,0.498412182016533,-0.958283935668718,-0.250673224751333
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.98278888586207,0.525403139525054,-0.992496354744605,-0.237670856787693,0.996168182614153,0.511204555652512,-1.00646249435374,-0.218180163117113,0.983208602971315,0.529605370414502,-0.992693424705292,-0.237148310282845
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.974410855460112,0.584117768408336,-0.975760623773524,-0.25193245290009,0.99539350608417,0.490665208902661,-1.00043705819592,-0.219008754227362,0.985801989316378,0.547147200917606,-0.96569377034352,-0.252103438731055
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.98278888586207,0.525403139525054,-0.992496354744605,-0.237670856787693,1.00502423693282,0.461305367011601,-0.996609173418326,-0.224643677264889,0.985892943929131,0.518589455408296,-0.990066392564766,-0.23714209583774
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000006,0.979686356590738,0.533767388215375,-1.01397233367791,-0.232956863126499,0.974410855460112,0.584117768408336,-0.975760623773524,-0.25193245290009,1.00735798384324,0.418481230578633,-0.992122312181009,-0.224106767478497,0.994798889804374,0.490406491992034,-0.95592063942918,-0.251103900147447
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139555,1.01768547228692,0.514351381236052,-1.02891575874943,-0.211294183795734,0.986776474831226,0.488445181750641,-0.972149185400112,-0.202010495321054,1.01861633181653,0.514807108924811,-1.02896514696582,-0.211352322860134
4000,0.7,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139661,1.04641892782595,0.554738280520543,-1.07690318316434,-0.20999687836183,0.979831827459352,0.516735173072011,-0.966723403533412,-0.197909139393958,1.05296637824529,0.54926380151937,-1.07775977234192,-0.211102520779136
4000,0.5,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139555,1.01768547228692,0.514351381236052,-1.02891575874943,-0.211294183795734,0.996962216899122,0.431426818042764,-0.959803677532666,-0.208489388378818,1.02233209556303,0.501054950703382,-1.02562912223603,-0.211236737264158
4000,0.7,0.5,0.81,1,1.25,1.25,0,1,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139661,1.04641892782595,0.554738280520543,-1.07690318316434,-0.20999687836183,0.9965103334482,0.410090386427958,-0.949792198467288,-0.206180047144488,1.06990996556009,0.458302997172948,-1.06305893129691,-0.210006389976955
4000,0.5,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139555,1.01768547228692,0.514351381236052,-1.02891575874943,-0.211294183795734,0.986776474831226,0.488445181750641,-0.972149185400112,-0.202010495321054,1.01856757440045,0.517489201927658,-1.02803382519265,-0.211233621148429
4000,0.7,0.5,0.81,1,1.25,1.25,1,0,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139661,1.04641892782595,0.554738280520543,-1.07690318316434,-0.20999687836183,0.979831827459352,0.516735173072011,-0.966723403533412,-0.197909139393958,1.05354307966771,0.553572980035752,-1.07618311870021,-0.211457354761579
4000,0.5,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139555,1.01768547228692,0.514351381236052,-1.02891575874943,-0.211294183795734,0.996962216899122,0.431426818042764,-0.959803677532666,-0.208489388378818,1.02306069554402,0.500328946513945,-1.02430601490146,-0.211107864982802
4000,0.7,0.5,0.81,1,1.25,1.25,0,0,50,15,3,7000007,0.981005951688266,0.509614790829944,-0.98694539047666,-0.209941227139661,1.04641892782595,0.554738280520543,-1.07690318316434,-0.20999687836183,0.9965103334482,0.410090386427958,-0.949792198467288,-0.206180047144488,1.07094024976972,0.459170691591243,-1.06154536299331,-0.210253239111551
4000,0.5,0.5,0.81,1,1.25,1.25,1,1,50,15,3,7000008,1.0201329644773,0.480046587355584,-1.00417012796124,-0.215936495341496,1.01518844698384,0.467994177518672,-0.990593943329294,-0.168365994063661,1.01912629636829,0.482559315464739,-0.997109694828446,-0.21604857144497,1.01344234090641,0.473716541703346,-0.991397741149464,-0.167984509501838
