"n","q","m.knots","seed","B.sp.22.B1","B.sp.22.B2","B.sp.22.B3","B.sp.22.B4","V.sp.221","V.sp.222","V.sp.223","V.sp.224","time.xz.nonpar","time.cz.nonpar","time.est.sp","time.var.sp"
8000,0.8,50,5000051,0.908659178124332,10.192409330049,2.06189783297336,-0.0244755072512305,0.0704857723647645,0.148478499253908,0.0607824544541255,0.0342912352058323,76.9271306991577,49.6567149162292,46.4307842254639,15.6178889274597
8000,0.8,75,5000051,1.80858989200119,7.56840617115769,1.58304674532596,0.112979958840713,0.857305846375532,2.2020610989713,0.504309697941696,0.0552446064422276,38.3410186767578,12.1660845279694,72.497065782547,15.5779206752777
8000,0.8,1,5000052,1.01999255647132,9.96436666526775,1.92997118295042,-0.0826216233222388,0.0653926732370056,0.137790845376372,0.0564119666497592,0.0343773724038928,0.786669731140137,0.301577806472778,56.73015832901,15.4866538047791
8000,0.8,5,5000052,1.05414979936034,9.83074710496419,1.9158133651659,-0.0829984629334766,0.0667720188673531,0.145930294570935,0.0568317608414694,0.0345249381001141,17.1608262062073,8.56470608711243,43.8657522201538,15.5318791866302
8000,0.8,25,5000052,1.02406217961117,9.94457488160417,1.9307480226825,-0.0834756732893724,0.0665402905251926,0.140681153721918,0.0571992499978781,0.0343696442385925,37.5040321350098,21.3300557136536,56.6849954128265,15.5065808296204
8000,0.8,50,5000052,1.02994462601341,9.90792610334302,1.93667128895868,-0.0839743958673046,0.0670716344178383,0.144182089816434,0.0571923352711606,0.0344322970580718,75.1572730541229,42.3360946178436,56.7256462574005,15.5467188358307
8000,0.8,75,5000052,1.02944563633399,9.97603972641304,1.91445987734925,-0.0845793243820787,0.0676361214399292,0.142573895390146,0.0583228360266681,0.0343927643627581,27.6436467170715,6.3060667514801,57.9772517681122,15.7493307590485
8000,0.8,1,5000053,1.02170209533867,10.0742090424367,1.97948669079544,0.025170539863542,0.0704718042992493,0.145983639619716,0.0619603644488013,0.0374375085334278,11.6752252578735,0.396677017211914,56.9751996994019,15.6937854290009
8000,0.8,5,5000053,1.04551964817961,9.97563153927397,1.97261680256272,0.0258784989216678,0.0707701248795534,0.150259703865627,0.0616986557418958,0.0375532201648617,16.3094692230225,5.57504200935364,46.6713056564331,15.5337190628052
8000,0.8,25,5000053,1.05772059780189,9.92750188418369,1.97083198871489,0.0266177814195613,0.0712591067760089,0.154124980666691,0.0615905532438616,0.0376069851276595,49.0192837715149,45.5440113544464,57.0575511455536,15.6067519187927
8000,0.8,50,5000053,1.01942811146196,10.0534219354005,1.99257275795675,0.0257789151882438,0.0693805590761207,0.144000484612256,0.0609545158857586,0.0375104503667094,80.4764802455902,43.8356230258942,57.0977439880371,15.6455895900726
8000,0.8,75,5000053,2803681.95955039,19.0749369251736,-2803680.50006711,1.21220321987137,NA,NA,NA,NA,29.5000915527344,7.45591950416565,32.8896615505219,16.5421290397644
8000,0.8,1,5000054,0.97371711673536,10.0688683872518,2.06173098198555,-0.0169892249693091,0.0670308728550707,0.14324860371913,0.0590524871666591,0.036027428471932,2.06799674034119,0.298990726470947,56.6973607540131,15.4506950378418
8000,0.8,5,5000054,1.0043713689838,9.94376469022055,2.05310482687249,-0.0162305068086384,0.0678929193950624,0.151185531543838,0.0588413408599676,0.0362100913211266,16.70157122612,8.60165810585022,56.4610016345978,15.3781292438507
8000,0.8,25,5000054,0.972401252588815,10.0339238091966,2.08050052465229,-0.0159846720963438,0.0660773378892066,0.14456216661982,0.0574547186488996,0.0361513739039686,53.2215857505798,21.3283357620239,56.6027383804321,15.4507827758789
8000,0.8,50,5000054,0.958862929455014,10.0828580521343,2.08466479906703,-0.0160993119130699,0.065373801359417,0.14025226634359,0.057441247769217,0.0360862449772879,75.9775800704956,48.13170170784,56.5873730182648,15.5447137355804
8000,0.8,75,5000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8000,0.8,1,5000055,0.912169262312746,10.2819709882762,2.03803351914119,-0.0318295223288906,0.0678297954857692,0.143558219776973,0.0596415622970486,0.0354523657003953,0.746418476104736,0.363328456878662,56.9389028549194,15.6184644699097
8000,0.8,5,5000055,0.943640133219699,10.165200062326,2.02108421415333,-0.0311111362735384,0.069367416398621,0.152224663639985,0.0602068837009084,0.0356270329467248,16.2652678489685,6.09304404258728,56.9967441558838,15.6112258434296
8000,0.8,25,5000055,0.937284054678455,10.1706576133121,2.0335243517155,-0.0306049501794035,0.0691046853529725,0.153671018706747,0.0593848486368015,0.0356322330667782,66.8476943969727,21.6698997020721,56.8479721546173,15.5143117904663
8000,0.8,50,5000055,0.898117835665893,10.3028263837907,2.05326272976141,-0.0312375329398834,0.0666753652690662,0.141070968584461,0.0585546187548399,0.0354962339382509,78.7552075386047,47.238703250885,56.8909802436829,15.6936619281769
8000,0.8,75,5000055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8000,0.8,1,5000056,0.984115840982165,9.96696766107096,2.00937691775967,-0.0150688223957658,0.0650509175686196,0.135690948881129,0.0579005876506987,0.0349860795876568,0.791768550872803,0.301505088806152,56.4992837905884,15.4321959018707
8000,0.8,5,5000056,1.01805840758249,9.83810005396259,1.98830132539895,-0.0153927926782291,0.0662325757528483,0.142814370918501,0.0584704130609038,0.0351533711117804,16.2812974452972,6.09816694259644,43.7572953701019,15.497992515564
8000,0.8,25,5000056,0.989510733404788,9.93416694726802,2.0052654008515,-0.0147979969202366,0.0651549894995225,0.136456702288611,0.0581237276376951,0.0350279293222905,34.0651080608368,19.8662340641022,56.5593917369843,15.462779045105
8000,0.8,50,5000056,0.991048539244237,9.92453125767107,2.00539221945216,-0.0145713478574637,0.0649370458350325,0.136486917854827,0.0578562607008945,0.0350508133626117,79.3334817886353,43.6187946796417,56.7409739494324,15.4915192127228
8000,0.8,75,5000056,-28.0278646134659,51.5609927207936,24.5214362983071,1.46891240641601,NA,NA,NA,NA,27.5257987976074,12.9558293819427,73.9742608070374,16.4051871299744
8000,0.8,1,5000057,0.971025849978842,10.206801907578,1.99177896930484,0.0347197851034453,0.069347244459937,0.153137644573298,0.060104459563233,0.0343769874809833,2.58319139480591,0.405442953109741,46.4788610935211,15.6068527698517
8000,0.8,5,5000057,1.01039293792753,10.0576341759492,1.97433923370444,0.0363536359737479,0.071495078399228,0.166504822027826,0.0605653995717044,0.0345281378345268,12.9674029350281,5.80823612213135,56.9130508899689,15.5770103931427
8000,0.8,25,5000057,0.984105452269787,10.1164004560031,2.00880348327773,0.0370337197110782,0.071080856086842,0.170391180601795,0.0587142161521235,0.034624464211492,50.6724796295166,19.9874091148376,56.8839106559753,15.5216031074524
8000,0.8,50,5000057,1.01597718598164,10.0323901139375,1.98503342582074,0.0334700261123221,0.0765709474140502,0.186367092421594,0.062588747315505,0.0346681551062157,85.3048191070557,47.655925989151,56.8059265613556,15.4954147338867
8000,0.8,75,5000057,0.833450671895598,10.6948303225016,2.04590835037866,0.0290333713245869,0.0917668317364161,0.252602907870225,0.0666944091792395,0.0345532862404122,34.1350481510162,6.78837728500366,64.0059180259705,16.7263586521149
8000,0.8,1,5000058,0.99466941910834,10.0321330475796,1.97420186982091,-0.0111524675029144,0.0648215942152259,0.139254687887905,0.0579981699849227,0.0350523375483255,0.734837293624878,0.289190769195557,56.7107238769531,15.4748630523682
8000,0.8,5,5000058,1.03773178434735,9.8843485741154,1.94633306998989,-0.0104625082036496,0.0669277814179615,0.149254406695922,0.0590786548533344,0.0352576696711692,16.6946539878845,8.4776885509491,56.6388125419617,15.5060496330261
8000,0.8,25,5000058,1.00028771490374,10.002833746562,1.96673777118218,-0.0113392056824532,0.0648090391559212,0.139565774989836,0.0581871940709653,0.0351468686838862,33.5191779136658,34.3688609600067,56.8373515605927,15.5808591842651
8000,0.8,50,5000058,0.976555563630062,10.0631445659669,1.98942462484251,-0.0112991027024553,0.0636739584609675,0.13655594390135,0.0570640386822998,0.0351319091203308,71.4234988689423,44.2833948135376,56.808158159256,15.5166888237
8000,0.8,75,5000058,1.03806243615088,9.93555342418871,1.94178705483014,-0.00895579891996415,0.0875789396697366,0.237532905423068,0.0653638062349024,0.0349333137696341,32.2852602005005,4.9479455947876,49.5874662399292,16.6204924583435
8000,0.8,1,5000059,0.899689687630649,10.2499549397676,2.02658255792567,0.0053926697921234,0.068496581004644,0.1486086926765,0.0597174788760985,0.0351294126136579,0.589451789855957,0.289520025253296,56.7191653251648,15.4646816253662
8000,0.8,5,5000059,0.92769407116632,10.1454256451919,2.01120231678994,0.00548852074408635,0.0696717504538981,0.155549003384053,0.0601759010019741,0.0353032489744417,11.4705455303192,5.85603189468384,46.3473966121674,15.5530242919922
8000,0.8,25,5000059,0.911256684205667,10.2011414643565,2.01741797059143,0.00554786833606322,0.0685486318501879,0.149432023581651,0.0599534343582595,0.0352410681042069,35.3306472301483,21.5685999393463,46.476912021637,15.5482904911041
