"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4","Vor1","Vor2","Vor3","Vor4","Vcc1","Vcc2","Vcc3","Vcc4","Vml1","Vml2","Vml3","Vml4","Vsp1","Vsp2","Vsp3","Vsp4"
4000,0.8,10,1,0.5,1,2,40,40,5,6000002,0.982383260804022,10.0595922031427,1.97815882823973,0.00336128811472589,1.04467325729369,9.87328941507402,1.97906290761691,0.00720088500925646,0.982557672299553,10.1853537165952,1.9019147110726,0.0459972830978163,1.00514950826912,10.0164299048104,1.99623188130389,0.00584151474435468,0.0506817973529346,0.0732910658891569,0.0361729620019192,0.0111573129807652,0.106595192879004,0.250736333092931,0.0895897039717041,0.0251813997757245,0.0663544019780101,0.102327816689388,0.0557151536895294,0.0200986199318485,0.105669059650535,0.246320781232606,0.0893990719434545,0.0251509681271272
8000,0.8,10,1,0.5,1,2,40,40,5,6000002,0.998421342195241,10.0038790549343,1.98222190728801,-0.00884537725761526,0.995462466883431,9.9733960636197,1.96137982218707,-0.00825476565388598,0.910646690671175,10.175542944152,2.08129459725912,0.0553240297177366,0.937736152234922,10.1518793484777,1.99648722498626,-0.00548430079499916,0.0369032116384942,0.0521995310646923,0.0261864276550787,0.00796272495753243,0.0749168728563689,0.172402486203108,0.0621611906494893,0.0181451962799905,0.0459383702664051,0.0672536183896281,0.0369277628374513,0.0138976989955635,0.0742823241183856,0.169275880558925,0.0618726999674036,0.0180902798366289
4000,0.6,10,1,0.5,1,2,40,40,5,6000003,1.02505023371429,9.92936806245389,2.03823094018225,0.0409253988443964,1.04201373553641,9.90922455801415,1.98186338109095,0.0148243677755487,1.1377709557018,9.71603645521374,1.89627149235308,0.0141245298945822,1.0468891941421,9.8996699999573,1.97753971488294,0.0131640029898455,0.0496583358639938,0.072756465771185,0.0357845703012122,0.0110001442685906,0.0777011033718907,0.159852856377386,0.0616355721799213,0.0178825385764834,0.058901355140072,0.0930214376165606,0.0480187833710989,0.0158748869681674,0.0776543672098793,0.159569536767236,0.0616296736398962,0.0178798657784776
8000,0.6,10,1,0.5,1,2,40,40,5,6000003,1.02381400872129,9.97466271740952,1.9794403160182,0.0167732374598473,1.01780349020811,9.9718821675985,1.98758890264209,0.0359545742074085,0.985430963039748,10.0757409642344,1.99121003484841,0.0332015970746708,1.01566399926374,9.97836253616115,1.9889625363352,0.0359177138028209,0.0358802344398361,0.051755434070722,0.025809311205622,0.00775265932937999,0.0567675675319734,0.111467666056597,0.0443896341103924,0.0123776460106944,0.0418007985591373,0.0644666011606162,0.0332564127164704,0.0108175249661665,0.0567051490907917,0.111183385650507,0.0443692024554624,0.0123706264912296
4000,0.7,10,1,0.5,1,2,40,40,5,6000003,0.955496133713491,10.0348520525225,2.0595878821801,0.0436359224553695,0.98234132621563,9.92201803142445,2.07738399090365,0.070340688381743,0.804714136397848,10.3633782399172,2.18151463570167,0.0932920300061386,0.9509677374627,10.0094960823863,2.09987093475956,0.0717627480806974,0.0490534006470924,0.0706396974428574,0.0354450077128397,0.0110134413217503,0.0889462128995497,0.186019876821676,0.071241875754957,0.0196842939506485,0.0593559606514142,0.0910854429231848,0.0469550132134642,0.0169560059556988,0.0885449330766688,0.184563890811068,0.0710495500008291,0.019672292834695
8000,0.7,10,1,0.5,1,2,40,40,5,6000003,0.98719366477623,10.0152904769665,2.00648299337453,0.0138019869789331,1.02663644100271,9.86953898680821,1.98838702492984,0.0226711952219888,0.932719517372031,10.0889887148612,2.06600314207017,0.0283038211841347,1.01844762961755,9.90075007935576,1.99128693366692,0.0224293229806206,0.0352366616311104,0.0507671712684512,0.0253759994758353,0.00774599452760388,0.062441131552697,0.131462955201429,0.0509804422703029,0.0140556310703799,0.0437823715295008,0.0671358378388686,0.0364234303068422,0.0119352975442347,0.0622881727158287,0.130671029350281,0.0509402084277454,0.0140457450177469
4000,0.8,10,1,0.5,1,2,40,40,5,6000003,1.0512149327841,9.94033477296452,1.96141189818577,0.0324312275335617,0.958905510426561,10.1629098287428,1.97958402350839,-0.0345889158533042,1.00835503036835,10.0756117159165,1.93364247154186,0.00489514685347704,0.943642776260997,10.2262622719897,1.98342499875675,-0.0358705516411212,0.0491467026467165,0.0708879844236242,0.0354404213091226,0.0113084941392412,0.106302650530716,0.266037343234647,0.0881071125966644,0.0265711117511323,0.0665873587111633,0.102887776104522,0.0580215349299679,0.0207525618159556,0.105581969131423,0.262289506967011,0.087913237066946,0.0265413400913535
8000,0.8,10,1,0.5,1,2,40,40,5,6000003,0.894165134683261,10.1471650429128,2.05713374891743,0.00682206218636907,0.925900873936426,9.99066792885804,2.07584259407507,0.0145938445647948,0.788207833562029,10.3186768690635,2.1576919484642,0.0633260849708458,0.876098816488079,10.1467632705127,2.10773855680013,0.0149688758174075,0.035220879313376,0.0512518215594321,0.0253049587959451,0.00771814381367592,0.0734682046454582,0.170188762947778,0.0627138496022595,0.0176159709565456,0.0445968688513912,0.0663063898159269,0.0368049208666455,0.01393430170965,0.0727690937108503,0.167028687757284,0.0623299738153767,0.0175946626879431
4000,0.6,10,1,0.5,1,2,40,40,5,6000004,0.999094633134368,10.0012082841096,1.96433617321559,-0.0281697797303075,0.893131665622838,10.1774514073419,2.03182483129063,-0.0137681265594792,0.987009735152317,10.0133751387664,1.94764457603075,-0.0243842295665418,0.893289312070136,10.1754774140429,2.03197127735072,-0.0140772029423175,0.0510126625713115,0.0735800184876467,0.0369998149090534,0.0118637796836955,0.0779050480389138,0.155891240482706,0.0612422265885889,0.0182539093202351,0.0600858568639078,0.094120061824685,0.047920134957201,0.0163820197672427,0.0778587766912741,0.155654842328929,0.0612323036734277,0.01825129801058
8000,0.6,10,1,0.5,1,2,40,40,5,6000004,1.00759888139591,10.0113271987422,2.03262671236423,-0.0207981539435031,1.02183557344687,10.0197047590237,2.0100485528032,-0.0093041868942486,0.904377191481572,10.2076380872442,2.12160698309305,0.0042308813625752,1.01905590577102,10.019333644132,2.01662230368709,-0.00814335481725072,0.0369637393911156,0.053458176026394,0.0263925283389662,0.00792873326574414,0.0581994240876456,0.113232413218212,0.0451525253400155,0.0119346202598792,0.0416083684409134,0.0645968833363547,0.0322832738061647,0.0105616998747527,0.0581463978085177,0.113027426222418,0.0451343194463403,0.0119325195160251
