"n","q","x.shape","c.shape","mx","mc","my","seed","Bor.(Intercept)","Bor.W","Bor3","Bcc.(Intercept)","Bcc.W","Bcc3","Bml.(Intercept)","Bml.W","Bml3","Bsp.(Intercept)","Bsp.W","Bsp3"
10000,0.4,1,4,100,15,3,7000002,1.00090988834072,1.99702066568967,0.0823088352432692,1.00009659128908,1.99261614709877,0.079176388584873,1.00000044002268,1.99065468800671,0.0760182997037729,0.99946144329045,1.9960288984395,0.0792478770010638
10000,0.8,1,4,100,15,3,7000002,1.00090988834072,1.99702066568967,0.0823088352432969,0.969568700351252,2.38629981762848,0.0449595640224874,1.00490224845997,1.93751960603807,0.0630556324030106,0.953104137594698,2.57806827667704,0.0408310469275357
10000,0.4,4,4,100,15,3,7000002,0.971944697234121,2.02775169823142,0.0949313205258472,0.999285918206654,1.98512546962932,0.0802519300069216,1.47298855065928,1.31636297583534,0.0970979520765545,0.99654699829691,1.98840048801529,0.0803824590724715
10000,0.8,4,4,100,15,3,7000002,0.97194469723412,2.02775169823142,0.0949313205258443,0.980423281667354,2.05820617620724,0.0291423655287839,1.55752181067812,0.892803987248923,0.120935572481819,0.801443369094965,2.39072477281451,0.0357036613115746
10000,0.4,1,1,100,15,3,7000003,1.00521746138031,1.99353562215606,0.0842970016035041,0.983572750880458,2.03835349407722,0.113720547252771,0.997960637226837,2.0165427228686,0.100293080356541,0.984781389727887,2.03912284570546,0.113673652539362
10000,0.8,1,1,100,15,3,7000003,1.00521746138031,1.99353562215606,0.0842970016018478,0.97703594790577,1.9924130712278,0.127098256496789,0.999433370712839,1.99916688630936,0.112698505963361,0.974320985139255,2.01629429746063,0.124482509697951
10000,0.4,4,1,100,15,3,7000003,0.98308450649321,2.01609845081926,0.0852628562155067,1.00767292001379,1.98138465317343,0.062610963187135,1.37000011736062,1.49186184229573,0.0779016213073553,1.00391846481494,1.98463655491353,0.0629345413791007
10000,0.8,4,1,100,15,3,7000003,0.98308450649321,2.01609845081926,0.085262856215724,1.0433708612002,1.94476465848133,0.065370714262605,-22.3545038450102,37.5380056773641,-0.413756066818338,0.973243348513909,2.03628256976782,0.0695221766672521
10000,0.4,1,4,100,15,3,7000003,0.986640925903205,2.00221006770297,0.0840348149096463,1.00219657770419,1.98639646651196,0.0959235000468475,0.992622491532595,2.00725988916928,0.0933190584317742,1.00189124466963,1.98900224187333,0.0959969261260146
10000,0.8,1,4,100,15,3,7000003,0.986640925903205,2.00221006770297,0.0840348149105231,0.963882327675564,2.18592327229013,0.0855823060937949,0.990351906191068,1.9887727174177,0.0784550032351947,0.976003033480183,2.10112259625518,0.0867000022921867
10000,0.4,4,4,100,15,3,7000003,0.931966568248497,2.06066745887104,0.0885020379062738,0.920874165570107,2.07428446437954,0.0725224550758722,1.41830693886328,1.36169077923439,0.0965523895911122,0.917814676295756,2.07803634952017,0.0726162013585893
10000,0.8,4,4,100,15,3,7000003,0.931966568248497,2.06066745887104,0.0885020379062738,0.944900995462985,1.9868299282177,0.0533658292709348,4.15814841028308,-2.74435963109858,-6.29248781930871,0.779431945249597,2.29217749999468,0.0594024717092553
10000,0.4,1,1,100,15,3,7000004,0.985020560076292,2.01005023990578,0.0951449648240602,0.953931836421987,2.04217957258235,0.0757017584457117,0.962225517856054,2.03114432080765,0.0825097653298458,0.955400751702009,2.04285184798437,0.0756089312588839
