"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
8000,0.7,10,1,0.5,1,2,1,1,40,40,5,6000003,0.98719366477623,10.0152904769665,2.00648299337453,0.0138019869789331,1.02663644100271,9.86953898680821,1.98838702492984,0.0226711952219888,0.933980720759028,10.0647641234173,2.07648046602085,0.0216887218540583,1.02331954636137,9.88240727702275,1.99058117932775,0.0225786503704967
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,6000003,0.894165134683261,10.1471650429128,2.05713374891743,0.00682206218636907,0.925900873936426,9.99066792885804,2.07584259407507,0.0145938445647948,0.911160287279043,10.0703808634427,2.06076245669793,0.0126656413108012,0.915905334660073,10.0273570203056,2.08046769170243,0.0134567683261188
8000,0.1,10,1,0.5,1,2,1,1,40,40,5,6000004,1.04919073967137,9.95436637723276,1.98091800736899,-0.0101284001502394,1.0540087248318,9.94368952830726,1.97942733045934,-0.00502004398294595,1.04556989368311,9.96119016743423,1.98416849816049,-0.00919325954997518,1.05398643338818,9.94372704000503,1.9794474711159,-0.00502171882429042
8000,0.2,10,1,0.5,1,2,1,1,40,40,5,6000004,1.05579267778296,9.97088615576036,1.97721371228477,-0.0181247952696889,1.07873753572747,9.93311573861492,1.96248251126524,-0.0133933148485933,1.05274951820759,9.97857352907298,1.9780544313603,-0.0100914009167489,1.07849060393853,9.93363849993357,1.96264889922439,-0.0133704860024563
8000,0.3,10,1,0.5,1,2,1,1,40,40,5,6000004,1.04044839776273,10.0068171485152,1.97314719770051,-0.0226077346952778,1.06402547886016,9.93644640630755,1.95853410027283,-0.0204672558208796,1.0307036535563,10.0322769862327,1.96992467996422,-0.0229444663010041,1.06337256286874,9.93773155616878,1.95903020011599,-0.0205242956158319
8000,0.4,10,1,0.5,1,2,1,1,40,40,5,6000004,0.980047013428564,10.0477725868921,2.05081922895495,-0.0224631516770757,1.016851055645,10.0022040223009,2.02055899886472,-0.0209921814336717,0.949180124465803,10.1269882952385,2.07342356616998,-0.00581443973689315,1.01552748582556,10.0060056207094,2.02124554007685,-0.0208892659750237
8000,0.5,10,1,0.5,1,2,1,1,40,40,5,6000004,1.01155126800067,10.0297706790945,2.00929409491266,-0.017676128048925,1.00881181851486,10.0334248546415,2.01848077463781,-0.0161194388642036,0.994953241588662,10.099669305707,2.00720365741041,-0.019689600218457,1.0058469429587,10.041619291175,2.01999379289207,-0.0162674689647113
8000,0.6,10,1,0.5,1,2,1,1,40,40,5,6000004,1.00759888139591,10.0113271987422,2.03262671236423,-0.0207981539435031,1.02183557344687,10.0197047590237,2.0100485528032,-0.0093041868942486,0.972570552968751,10.1097025772471,2.05257350664946,-0.014265407995908,1.02448717201819,10.0098071477209,2.01042290706477,-0.0091183432714617
8000,0.7,10,1,0.5,1,2,1,1,40,40,5,6000004,1.01701961524661,9.99894173810758,2.02602876409719,-0.022911042477576,1.05541956816946,9.92979306440817,2.00386691768365,-0.012179132659418,0.983085483129054,10.0779588382627,2.03743354151442,-0.0108393538525547,1.04988721630909,9.94668148478227,2.00796518399255,-0.0124266497959815
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,6000004,1.03785642778894,10.0083732999976,1.9757449787343,-0.0171041592180451,1.12917376309587,9.74926080520052,1.93110064768632,-0.0500291207192035,1.00203921032383,10.0879606070471,1.99416143861082,-0.0339967822438995,1.1054428861834,9.83745017368649,1.94201281864669,-0.0478992252103044
8000,0.1,10,1,0.5,1,2,1,1,40,40,5,6000005,1.02875187082412,9.96826366163772,1.99347270972349,-0.0134645142084442,1.02618917619821,9.97837388834952,1.98878970577432,-0.00700054733459831,1.02438471232249,9.98794229742702,1.99047941666793,-0.015216343389072,1.02617364481408,9.97839989742628,1.98879794485659,-0.00699520516615062
8000,0.2,10,1,0.5,1,2,1,1,40,40,5,6000005,0.971741416010054,10.0753259771102,1.99446642927532,-0.00277153123241622,1.00228129010943,10.029072239866,1.96764999313187,-0.00860125003733757,0.980723954945757,10.0638670898845,1.98258027408312,-0.0030088043065368,1.00208747211799,10.0295089261441,1.96776093676671,-0.00860552071520858
8000,0.3,10,1,0.5,1,2,1,1,40,40,5,6000005,1.0052312446062,10.0030479181804,2.01417682511044,-0.00555553696077743,0.972396916910435,10.0639060324443,2.03193348993975,-0.00349262044069064,0.994808150087428,10.0220696317525,2.0163837886681,-0.00469909203875662,0.972601688483745,10.0635511386206,2.03179325911068,-0.00345934479685619
8000,0.4,10,1,0.5,1,2,1,1,40,40,5,6000005,1.00850055992165,10.0348475194281,1.97673525207394,0.00113907617334738,0.978387075005129,10.1269168755345,1.97661714370814,0.0181807198787861,0.993400425827171,10.0967056685629,1.965183684024,0.00983860830362501,0.979723172802619,10.1236370825886,1.97596311696516,0.0184847321308494
8000,0.5,10,1,0.5,1,2,1,1,40,40,5,6000005,0.998503051683645,10.0416938627615,1.98900093154324,0.000459771122648183,0.979560363426811,10.020508413376,2.03291374639094,0.00240978137737825,0.941064335573104,10.1253563538438,2.05688888781177,0.0122902211343187,0.977377626385848,10.0268422934625,2.03379600604425,0.00268267601008848
8000,0.6,10,1,0.5,1,2,1,1,40,40,5,6000005,1.04450555672487,9.94706851613454,1.99321473645676,0.000357315694570523,1.12522705874778,9.71220458205235,1.9547960121141,0.021221831238629,1.04226640610319,9.93171268837771,1.99505617339087,0.00896221793803934,1.1201543473217,9.72964126124234,1.95717662123813,0.0203280024242948
