"mx","mc","my","Seff1","Seff2","Seff3","Time"
40,15,3,-11.0641980589094,1.7753661747097,56.5627770032137,1.30423188209534
50,15,3,-10.3376155802752,1.57250303237546,56.3013629361105,1.78966999053955
60,15,3,-12.2981115878708,1.04072020038391,56.9887685460274,2.30055904388428
70,15,3,-12.0193907918513,0.906566104408487,56.8018241580684,1.84797692298889
80,15,3,-12.8972553312016,0.62037885321709,57.11241119317,2.57752108573914
90,15,3,-13.2076989017519,0.464349664167489,57.4413347443214,3.77992415428162
100,15,3,-13.6034513587472,0.311970101990253,57.4858322008171,4.52636384963989
110,15,3,-13.9797294648387,0.211200008955985,57.6013986193171,3.37550902366638
120,15,3,-14.5304774014981,0.0751446747155295,57.7057052863009,2.9833071231842
20,20,3,-6.63731208770859,3.85023622845597,55.4770955887787,0.285467147827148
30,20,3,-11.2458496822626,2.3846932538357,55.9551798714819,0.397620916366577
40,20,3,-11.2872774309144,1.72937698572777,56.3584763153987,0.521707057952881
50,20,3,-10.5732153556482,1.52234296744013,56.4947271094845,0.697999000549316
60,20,3,-13.3197687196059,0.977951717834409,56.8717235742661,0.938423871994019
70,20,3,-13.2558717572839,0.69965423276712,57.111894820416,1.24113607406616
80,20,3,-14.3282679081163,0.436061598211868,57.2279717509375,1.55608701705933
90,20,3,-14.2334325993144,0.361250641629934,57.4130597281606,2.04655790328979
100,20,3,-14.3704182408949,0.234250887422552,57.5513746521573,2.51240992546082
110,20,3,-15.2017080791558,0.0798866942851694,57.6917453835717,3.28641891479492
120,20,3,-15.3799278780824,-0.014387277495397,57.7662853114615,4.1537778377533
20,10,4,-5.31898060334934,4.28446977727608,56.0854372941093,0.281891107559204
30,10,4,-4.8643472627808,3.29299441343995,55.9736663486618,0.328027009963989
40,10,4,-6.14745776767787,2.35262249690964,56.562471536098,0.454147100448608
50,10,4,-6.95303552382931,1.6777156832301,56.4278344704414,0.791520118713379
60,10,4,-7.76865996690075,1.52914617947309,56.9842610078853,0.707187175750732
70,10,4,-8.37835456497653,1.15944032624902,56.8176763906708,0.915060043334961
80,10,4,-8.94882437661551,0.904394312803407,57.059585034058,1.17119288444519
90,10,4,-9.36239939482073,0.667157102823608,57.1871297436907,1.44544291496277
100,10,4,-10.2498883991049,0.474218500869128,57.4302298184703,1.81122589111328
110,10,4,-10.898920017471,0.408926663470515,57.5486064012499,2.22467184066772
120,10,4,-11.4837454700335,0.25629917868427,57.6218122747125,2.71846103668213
20,15,4,-0.18708883753482,5.30762044310724,56.1594442605226,0.296935081481934
30,15,4,-10.3794613550202,2.48088811777067,56.3202331669298,0.437389850616455
40,15,4,-11.8111865960061,1.59701000971581,56.9535366674143,0.533443927764893
50,15,4,-11.0752941939026,1.40725428562127,56.6784099508825,0.719799041748047
60,15,4,-12.8960271763361,0.906270976031435,57.2990043397813,0.925693988800049
70,15,4,-12.6031158303332,0.781156791637328,57.1006297488519,1.21849012374878
80,15,4,-13.4057673624245,0.511287369681251,57.3692836288773,1.58540391921997
90,15,4,-13.6723022641347,0.366482630791462,57.6639873514183,2.01802802085876
100,15,4,-14.0339378337106,0.221998527591768,57.6926985827608,2.62251210212708
110,15,4,-14.3827650870755,0.127857976358624,57.7929816420212,3.41970300674438
120,15,4,-14.892255229684,-0.000116192917242017,57.8820403722725,3.87805199623108
20,20,4,-7.75398302214459,3.55126107602927,56.1402056615437,0.363423109054565
30,20,4,-12.0809079305128,2.16685582202749,56.457901773028,0.437397956848145
40,20,4,-12.0208364436299,1.55586198554092,56.7502606660035,0.63692307472229
50,20,4,-11.2863661366336,1.36350275585602,56.847270130059,0.902622938156128
60,20,4,-13.8775918295124,0.84925952706607,57.1750801703459,1.19826889038086
70,20,4,-13.7677471582502,0.587658918428978,57.376291795448,1.58828401565552
80,20,4,-14.7648640323376,0.338832003578394,57.4634240200518,2.13687992095947
90,20,4,-14.65571796008,0.26968563921959,57.6285141712036,2.61083197593689
100,20,4,-14.7662786242748,0.150310712617523,57.7478292299414,3.31097483634949
110,20,4,-15.5484579945803,0.0045639620732036,57.8702311499753,4.11899399757385
120,20,4,-15.7035235434303,-0.0837586474242167,57.9328034256226,5.21234893798828
